date,open,high,low,close,volume,ret_1d,ret_2d,ret_3d,ret_5d,open_close_ret,high_low_range,close_to_high,close_to_low,volume_chg_1d,vol_5d,vol_10d,mom_5d,mom_10d,sma_5_ratio,sma_10_ratio,sma_20_ratio,target_up,pm_total_trade_count,pm_total_notional,pm_market_age_hours,pm_up_last,pm_up_first,pm_up_mean,pm_up_std,pm_up_change,pm_up_min,pm_up_max,pm_up_trade_count,pm_up_notional
2025-03-13,83724.921875,84301.6953125,79931.8515625,81066.703125,31412940153,-0.0317197970748182,-0.0216685964830734,0.03227605466561401,-0.05905536087563523,-0.031749432432659375,0.05466961748763133,-0.038373987326211334,0.014197738952820949,-0.22155569517649865,0.04564462626439917,0.03614832311975016,-0.05905536087563523,-0.05808318974445936,-0.003566501535134825,-0.043448385211461105,-0.06834085586340843,1,100,646.932896,5.753873702777778,0.4900000284142881,0.6,0.5139999846080885,0.0178325506857912,-0.1099999715857118,0.4900000284142881,0.6,100,646.932896
2025-03-14,81066.9921875,85263.2890625,80797.5625,83969.1015625,29588112414,0.03580259620308812,0.0029471480419562823,0.013358207709843528,0.04178683723156862,0.0357989028171628,0.0552705604516226,-0.01517871893320144,0.0392529052160453,-0.05809159314957424,0.03777904552553525,0.03808181286420015,0.04178683723156862,-0.037296627748760525,0.02363300422800174,-0.005383510408505154,-0.027942238666783692,1,0,0.0,12.389842798055554,,,,,,,,0,0.0
2025-03-15,83968.40625,84672.671875,83639.59375,84343.109375,13650491277,0.004454112352525463,0.04041617734161429,0.007414387322980387,0.07399670675648151,0.004462429879690699,0.012351544031740325,-0.003892194408209093,0.008411275012918162,-0.5386494722609918,0.03301151485571435,0.035300151654212575,0.07399670675648151,-0.06930265100756772,0.013828287135931427,0.006534449649055585,-0.016822982314372514,0,246,9948.773911,12.854264085833332,0.47,0.5299999988276693,0.4314468086706027,0.0657555352230647,-0.0599999988276693,0.3199999999999999,0.6,246,9948.773911
2025-03-16,84333.3203125,85051.6015625,82017.90625,82579.6875,21330270174,-0.020907717157540473,-0.016546730126269504,0.01866345017962634,-0.0034095570743712944,-0.020794068180902348,0.03698820722456575,-0.02906369800318831,0.006849495136923123,0.5626009160519974,0.02670161501766786,0.03559147941983308,-0.0034095570743712944,-0.08205755207878762,-0.006693891948345354,-0.005750968092876008,-0.032394392537754446,1,149,6455.537528,36.79681615861111,0.49,0.5100000007092105,0.4683798402098468,0.0353486959138436,-0.0200000007092104,0.35,0.539999998056,149,6455.537528
2025-03-17,82576.3359375,84725.328125,82492.15625,84075.6875,25092785558,0.018115835083536647,-0.003170642830003012,0.001269347123127984,0.004220236118972931,0.018157157804081114,0.027071323826621363,-0.007667608251000768,0.01919614326968211,0.17639323615254643,0.02768810928510004,0.034984958734784494,0.004220236118972931,-0.03074593296876127,0.010441803840950614,0.015521538886048125,-0.01216823352660168,0,0,0.0,60.79699312222223,,,,,,,,0,0.0
2025-03-18,84075.71875,84075.71875,81179.9921875,82718.5,24095774594,-0.016142449028442418,0.0016809521106506686,-0.01926190991817467,0.020375774656248513,-0.016142814717239662,0.03567044642985162,-0.016142814717239662,0.018951810305013694,-0.03973297271821363,0.023646516835618202,0.03523469466771874,0.020375774656248513,-0.03988288494483205,-0.00980062797234904,0.0032925397535734646,-0.02718356225590368,1,0,0.0,13.228010632222222,,,,,,,,0,0.0
2025-03-19,82718.8046875,87021.1875,82569.7265625,86854.2265625,34931960257,0.049997601050550955,0.03304806829560558,0.051762596734215016,0.03435936488914959,0.04999373347599789,0.0539115378337911,-0.0019186239845324637,0.05188947787972764,0.44971310719756974,0.028693192209610533,0.03163911748963902,0.03435936488914959,0.07758197130872135,0.032574559358119926,0.045524986081646235,0.020165170934479892,0,222,13016.185566,30.0271880325,0.81,0.76,0.8009385488042058,0.0240804697346398,0.05,0.74,0.85,222,13016.185566
2025-03-20,86872.953125,87443.265625,83647.1953125,84167.1953125,29028988961,-0.030937253791171848,0.017513558786728556,0.0010883980282647698,-0.0020856957231427664,-0.0311461475081517,0.045381919839848184,-0.03746509567185441,0.006216586199421448,-0.16898482800767256,0.033476728428434195,0.0322978882540122,-0.0020856957231427664,0.07175667641853001,0.001048250755362412,0.006352742380559606,-0.01127643008876611,0,0,0.0,37.62004588888889,,,,,,,,0,0.0
2025-03-21,84164.5390625,84782.2734375,83171.0703125,84043.2421875,19030452299,-0.0014727011460912154,-0.0323643936081478,0.01601506540253994,0.017722938071181193,-0.0014411874211053277,0.01937215811875692,-0.0087168133152834,0.010486481317638185,-0.34443282456143687,0.03150903829509236,0.027627741923885743,0.017722938071181193,0.014252953627930776,-0.0038938157132791806,0.0034536977607855235,-0.011577988165629383,0,0,0.0,36.866243540000006,,,,,,,,0,0.0
2025-03-22,84046.2578125,84513.875,83674.78125,83832.484375,9863214091,-0.0025077306278807887,-0.003976738636202293,-0.034790963054924684,-0.0028926688824281177,-0.0025435211877834485,0.010028036374460259,-0.008062470511498887,0.001884715115404001,-0.4817141528728518,0.03051919154256459,0.02748099158026861,-0.0028926688824281177,0.0013153594908468236,-0.005818632613831087,0.000805713962104937,-0.007980579987783898,1,0,0.0,35.43672573194444,,,,,,,,0,0.0
2025-03-23,83831.8984375,86094.78125,83794.9140625,86054.375,12594615537,0.026503933905394295,0.023929738550699575,0.02242179605121919,0.040328040281194744,0.026511108586631194,0.027446381600017,-0.0004693228719946374,0.02696417751338398,0.2769281312155998,0.030910946891624314,0.026033376673638566,0.040328040281194744,0.061525529998540884,0.012519902316063813,0.02125010849952602,0.018318643590573336,1,0,0.0,36.40693598527778,,,,,,,,0,0.0
2025-03-24,86070.9296875,88758.7265625,85541.1953125,87498.9140625,34582604933,0.016786352378946434,0.043735190658305,0.04111778395329413,0.007422638200986986,0.016590785996905444,0.0376138214838555,-0.01419367479447664,0.022886268339459725,1.745824581258911,0.02199881408052565,0.024273150043295742,0.007422638200986986,0.04203704022452448,0.027956920360710846,0.03406148476637716,0.03524300232441746,0,0,0.0,60.40692978361111,,,,,,,,0,0.0
2025-03-25,87512.8203125,88542.3984375,86346.078125,87471.703125,30005840049,-0.0003109860024155253,0.01647014605590935,0.043410603623781796,0.039261232362928,-0.00046984187406118316,0.025436248642590087,-0.012092458882913326,0.013036202968830457,-0.13234297684824436,0.013120709427589562,0.024318459640564585,0.039261232362928,0.03709364965536044,0.01971970786071342,0.029931867284568092,0.03685433386682546,0,0,0.0,84.40691164305555,,,,,,,,0,0.0
2025-03-26,87460.234375,88292.15625,85861.453125,86900.8828125,26704046038,-0.00652577110204744,-0.006834727680995356,0.009836894550683706,0.03400202741613212,-0.006395495810149421,0.028309596874179332,-0.015757610829670976,0.012105894434220277,-0.11003837938241756,0.014166402193721792,0.0230813005891365,0.03400202741613212,0.05232758131350401,0.0063601656525540395,0.018031053018010113,0.03196013916327978,1,0,0.0,35.43746654277778,,,,,,,,0,0.0
2025-03-27,86896.2578125,87786.7265625,85837.9375,87177.1015625,24413471941,0.003178549412391707,-0.003367964175557514,-0.0036779027882578585,0.03989643409038002,0.0032319429751046513,0.022703120779201003,-0.006944386969093497,0.015601074554010497,-0.08577629373992623,0.013443263973826574,0.022642572342115037,0.03989643409038002,0.036888358034538715,0.001798496659761728,0.0175698183578068,0.03497330857850578,0,0,0.0,34.03604822138889,,,,,,,,0,0.0
2025-03-28,87185.234375,87489.859375,83557.640625,84353.1484375,34198619509,-0.032393289916566204,-0.029317704176804127,-0.03565215465215621,-0.019769204790575756,-0.03248355019978122,0.04705995430923515,-0.03585228002316698,0.009520467626296103,0.40080933968129373,0.018094635052976902,0.0247248634113325,-0.019769204790575756,0.01976158220349733,-0.02684808682129236,-0.017267702612867475,0.0025191569062470442,0,69,3206.3598410000004,33.92908814027778,0.46,0.49,0.4460176301024776,0.0296457950569287,-0.0299999999999999,0.41,0.5,69,3206.3598410000004
2025-03-29,84352.0703125,84567.3359375,81634.140625,82597.5859375,16969396135,-0.020812056603918605,-0.05253117553715414,-0.04951959906189818,-0.05601587376843342,-0.020799541356840923,0.0359309878200853,-0.023292090003352528,0.011801990014517871,-0.5037987971843663,0.014904359675138599,0.01900270923412326,-0.05601587376843342,-0.0490090211319415,-0.036201813103524216,-0.03292458061203174,-0.01950860966304513,0,0,0.0,36.87252297138889,,,,,,,,0,0.0
2025-03-30,82596.984375,83505.0,81573.25,82334.5234375,14763760943,-0.0031848691098436133,-0.023930642037572114,-0.05554873972872576,-0.058729617738879525,-0.003177609200699094,0.02368116999138814,-0.014016844051254362,0.009332390673413071,-0.12997723516223403,0.014418624278010899,0.01665027452783199,-0.058729617738879525,-0.02177418254458363,-0.027613698675385767,-0.03393165484867977,-0.024832233032216267,1,0,0.0,37.04294772527778,,,,,,,,0,0.0
2025-04-01,82551.921875,85487.3671875,82429.359375,85169.171875,28175650319,0.0317418810684309,0.03442843073782753,0.03113391158242651,-0.023032764929222238,0.03170428913772638,0.03709852697736071,-0.0037221325555868434,0.03323830878674716,-0.028567487503678102,0.024544582762341012,0.01975694201629885,-0.023032764929222238,0.01594474397323986,0.021204903407923803,-0.00048656083474185596,0.00806458305716884,0,0,0.0,13.617909396666668,,,,,,,,0,0.0
2025-04-02,85180.609375,88466.953125,82343.5390625,82485.7109375,47584398470,-0.031507420800550134,-0.0007656445359431885,0.0018362588825180381,-0.02213832600905996,-0.03163746370533638,0.07436423224234057,-0.06760990376879783,0.0017265698877977353,0.6888482761269892,0.02429399590184002,0.020195749617278328,-0.02213832600905996,-0.04146987369904198,-0.006521602978060814,-0.02790747906186397,-0.024516114750340434,1,0,0.0,37.38512977416666,,,,,,,,0,0.0
2025-04-03,82487.4765625,83909.296875,81282.1015625,83102.828125,36852112080,0.007481504135517403,-0.024261639564051474,0.006710131426812094,0.006116912277343234,0.007459939231305723,0.032321941263783405,-0.009611196613903195,0.022400092117450976,-0.22554212588746425,0.02271001723582795,0.019325057646020872,0.006116912277343234,-0.05024160567707048,-0.00030557083430615695,-0.015534466638866595,-0.016714358036359678,1,0,0.0,35.822628209722225,,,,,,,,0,0.0
2025-04-04,83100.25,84696.1484375,81670.75,83843.8046875,45157640207,0.008916382019940938,0.016464594104414587,-0.015561583590893657,0.018331086244103734,0.008947682919124844,0.03704384296091323,-0.01006354793841624,0.026607502533036564,0.22537454865463435,0.022740454145117762,0.019787156747732224,0.018331086244103734,-0.04147510918263031,0.004958867599752059,-0.0024694720258027214,-0.007653875963473,0,0,0.0,37.48824560138889,,,,,,,,0,0.0
2025-04-05,83844.703125,84207.015625,82377.734375,83504.796875,14380803631,-0.004043325726492686,0.004837004456639926,0.012354696661003084,0.011579592819068063,-0.004053997895290373,0.022206015543869473,-0.008339195312742076,0.013681639930389178,-0.681542180568355,0.023023852556805245,0.019768209862874267,0.011579592819068063,-0.039079993523512324,-0.001392775252585965,-0.002472313594012232,-0.012207035315737746,0,0,0.0,37.888511327500005,,,,,,,,0,0.0
