date,pm_total_trade_count,pm_total_notional,pm_market_age_hours,pm_up_last,pm_up_first,pm_up_mean,pm_up_std,pm_up_change,pm_up_min,pm_up_max,pm_up_trade_count,pm_up_notional
2025-05-25,0,0.0,43.527469635,,,,,,,,0,0.0
2025-05-26,0,0.0,67.46079821361111,,,,,,,,0,0.0
2025-05-27,0,0.0,91.42741868305556,,,,,,,,0,0.0
2025-05-28,0,0.0,43.25972997611111,,,,,,,,0,0.0
2025-05-29,0,0.0,36.29447528027778,,,,,,,,0,0.0
2025-05-30,0,0.0,42.720662007222224,,,,,,,,0,0.0
2025-05-31,0,0.0,43.29289271333333,,,,,,,,0,0.0
2025-06-01,0,0.0,43.59157368027778,,,,,,,,0,0.0
2025-06-02,0,0.0,67.55705662805555,,,,,,,,0,0.0
2025-06-03,0,0.0,91.3246563625,,,,,,,,0,0.0
2025-06-04,0,0.0,41.89341892361112,,,,,,,,0,0.0
2025-06-05,0,0.0,65.89379870277777,,,,,,,,0,0.0
2025-06-06,0,0.0,66.02683669777778,,,,,,,,0,0.0
2025-06-07,0,0.0,42.45879595777778,,,,,,,,0,0.0
2025-06-08,0,0.0,42.660370245,,,,,,,,0,0.0
2025-06-09,0,0.0,66.62751337499999,,,,,,,,0,0.0
2025-06-10,0,0.0,90.59467984527778,,,,,,,,0,0.0
2025-06-11,0,0.0,42.926796525,,,,,,,,0,0.0
2025-06-12,0,0.0,42.99305531305555,,,,,,,,0,0.0
2025-06-13,0,0.0,42.59171453805556,,,,,,,,0,0.0
2025-06-14,0,0.0,43.19274777444444,,,,,,,,0,0.0
2025-06-15,0,0.0,42.52730784472222,,,,,,,,0,0.0
2025-06-16,0,0.0,66.52683741166668,,,,,,,,0,0.0
2025-06-17,0,0.0,90.46014980888889,,,,,,,,0,0.0
2025-06-18,0,0.0,37.64834523666667,,,,,,,,0,0.0
2025-06-19,0,0.0,37.39315553388889,,,,,,,,0,0.0
2025-06-20,0,0.0,36.76021541555555,,,,,,,,0,0.0
2025-06-21,0,0.0,36.89344744305556,,,,,,,,0,0.0
2025-06-22,0,0.0,37.02717787555556,,,,,,,,0,0.0
2025-06-23,0,0.0,61.02714775027778,,,,,,,,0,0.0
2025-06-24,538,96382.55252699998,84.81545934472221,0.96,0.87,0.9423494871276444,0.0265102769003939,0.0899999999999999,0.86,0.98,538,96382.55252699998
2025-06-25,0,0.0,35.81923930083333,,,,,,,,0,0.0
2025-06-26,0,0.0,39.52650290388889,,,,,,,,0,0.0
2025-06-27,0,0.0,38.96065428833333,,,,,,,,0,0.0
2025-06-28,0,0.0,42.62662740527777,,,,,,,,0,0.0
2025-06-29,0,0.0,39.98975868722223,,,,,,,,0,0.0
2025-06-30,0,0.0,63.98975752027778,,,,,,,,0,0.0
2025-07-01,0,0.0,87.98975693722221,,,,,,,,0,0.0
2025-07-02,0,0.0,42.99219898972222,,,,,,,,0,0.0
2025-07-03,0,0.0,37.889223490000006,,,,,,,,0,0.0
2025-07-04,0,0.0,40.32674287027778,,,,,,,,0,0.0
2025-07-05,0,0.0,42.49036258583333,,,,,,,,0,0.0
2025-07-06,0,0.0,39.92629713916667,,,,,,,,0,0.0
2025-07-07,0,0.0,63.92629644666667,,,,,,,,0,0.0
2025-07-08,0,0.0,87.89179525277778,,,,,,,,0,0.0
2025-07-09,0,0.0,42.97112812,,,,,,,,0,0.0
2025-07-10,0,0.0,41.84480437916666,,,,,,,,0,0.0
2025-07-11,0,0.0,42.81433507222222,,,,,,,,0,0.0
2025-07-12,0,0.0,41.67286627166667,,,,,,,,0,0.0
2025-07-13,0,0.0,42.91038291694444,,,,,,,,0,0.0
2025-07-14,0,0.0,66.79758892583334,,,,,,,,0,0.0
2025-07-15,0,0.0,90.91038075361112,,,,,,,,0,0.0
2025-07-16,0,0.0,42.63613291138889,,,,,,,,0,0.0
2025-07-17,0,0.0,43.537102005277774,,,,,,,,0,0.0
2025-07-18,0,0.0,41.95269101694444,,,,,,,,0,0.0
2025-07-19,0,0.0,41.43336373083333,,,,,,,,0,0.0
2025-07-20,0,0.0,43.32357573944444,,,,,,,,0,0.0
2025-07-21,0,0.0,67.323570565,,,,,,,,0,0.0
2025-07-22,0,0.0,91.32355774833334,,,,,,,,0,0.0
2025-07-23,0,0.0,43.206237091944445,,,,,,,,0,0.0
2025-07-24,0,0.0,42.58881709027777,,,,,,,,0,0.0
2025-07-25,0,0.0,42.98811809333333,,,,,,,,0,0.0
2025-07-26,115,24011.226673999998,42.51217802805555,0.976,0.97,0.9693773138247104,0.010363429815748,0.006,0.94000000276,0.989,115,24011.226673999998
2025-07-27,0,0.0,42.57950962861111,,,,,,,,0,0.0
2025-07-28,0,0.0,66.57950436944445,,,,,,,,0,0.0
2025-07-29,0,0.0,90.57949847972225,,,,,,,,0,0.0
2025-07-30,0,0.0,43.43636907805556,,,,,,,,0,0.0
2025-07-31,0,0.0,43.02283016361111,,,,,,,,0,0.0
2025-08-01,121,20785.704994000003,43.21680880666667,0.06,0.07,0.0743207843073364,0.014652798739651,-0.0099999999999999,0.05,0.1,121,20785.704994000003
