feature_set,seq_length,threshold,accuracy,f1,roc_auc,signals_up
btc_plus_full_pm,7,0.65,0.4904109589041096,0.010638297872340425,0.47105626613823337,6
btc_plus_small_pm,7,0.6,0.4904109589041096,0.2619047619047619,0.46724313937428696,70
btc_plus_small_pm,10,0.55,0.4904109589041096,0.5279187817258884,0.4652014652014652,212
btc_only,5,0.45,0.4904109589041096,0.5279187817258884,0.4558638083228247,212
btc_plus_full_pm,3,0.35,0.4904109589041096,0.6490566037735849,0.4532816909866091,348
btc_only,3,0.65,0.4904109589041096,0.10576923076923077,0.4422626553774095,26
btc_plus_small_pm,3,0.45,0.4904109589041096,0.5613207547169812,0.4357773374166817,242
btc_plus_small_pm,14,0.6,0.4876712328767123,0.08780487804878048,0.48642887167477333,23
btc_plus_small_pm,7,0.4,0.4876712328767123,0.6012793176972282,0.46724313937428696,287
btc_plus_small_pm,7,0.55,0.4876712328767123,0.402555910543131,0.46724313937428696,131
btc_plus_full_pm,10,0.45,0.4876712328767123,0.5013333333333333,0.4628895694469465,193
btc_plus_full_pm,10,0.65,0.4876712328767123,0.031088082901554404,0.4628895694469465,11
btc_plus_small_pm,5,0.6,0.4876712328767123,0.041025641025641026,0.4523509277607638,13
btc_only,10,0.35,0.4849315068493151,0.5930735930735931,0.47649072239236173,280
btc_plus_small_pm,7,0.65,0.4849315068493151,0.050505050505050504,0.46724313937428696,16
btc_plus_small_pm,10,0.4,0.4849315068493151,0.5948275862068966,0.4652014652014652,282
btc_plus_full_pm,10,0.5,0.4849315068493151,0.3815789473684211,0.4628895694469465,122
btc_plus_full_pm,3,0.45,0.4849315068493151,0.53,0.4532816909866091,218
btc_plus_small_pm,5,0.4,0.4849315068493151,0.6254980079681275,0.4523509277607638,320
btc_only,10,0.4,0.4821917808219178,0.5635103926096998,0.47649072239236173,251
btc_plus_small_pm,10,0.45,0.4821917808219178,0.5714285714285714,0.4652014652014652,259
btc_plus_small_pm,10,0.65,0.4821917808219178,0.38436482084690554,0.4652014652014652,125
btc_plus_full_pm,5,0.4,0.4821917808219178,0.615071283095723,0.4537020356692487,309
btc_plus_full_pm,3,0.4,0.4821917808219178,0.6134969325153374,0.4532816909866091,307
btc_only,3,0.35,0.4821917808219178,0.6493506493506493,0.4422626553774095,357
btc_plus_small_pm,14,0.55,0.4794520547945205,0.30656934306569344,0.48642887167477333,92
btc_only,10,0.45,0.4794520547945205,0.5410628019323671,0.47649072239236173,232
btc_plus_small_pm,7,0.45,0.4794520547945205,0.5343137254901961,0.46724313937428696,226
btc_plus_small_pm,10,0.6,0.4794520547945205,0.47513812154696133,0.4652014652014652,180
btc_plus_full_pm,5,0.6,0.4794520547945205,0.030612244897959183,0.4537020356692487,14
btc_only,3,0.4,0.4794520547945205,0.623015873015873,0.4422626553774095,322
btc_plus_small_pm,3,0.4,0.4794520547945205,0.6215139442231076,0.4357773374166817,320
btc_plus_small_pm,3,0.65,0.4794520547945205,0.12037037037037036,0.4357773374166817,34
btc_plus_full_pm,14,0.6,0.4767123287671233,0.1511111111111111,0.4816849816849817,43
btc_only,7,0.6,0.4767123287671233,0.1511111111111111,0.4736083588542605,43
btc_only,5,0.5,0.4767123287671233,0.2625482625482625,0.4558638083228247,77
btc_plus_full_pm,3,0.65,0.4767123287671233,0.10328638497652583,0.4532816909866091,31
btc_plus_small_pm,5,0.45,0.4767123287671233,0.5213032581453634,0.4523509277607638,217
btc_plus_full_pm,7,0.6,0.473972602739726,0.13513513513513514,0.47105626613823337,40
btc_plus_small_pm,10,0.5,0.473972602739726,0.5428571428571428,0.4652014652014652,238
btc_only,5,0.55,0.473972602739726,0.058823529411764705,0.4558638083228247,22
btc_plus_full_pm,5,0.55,0.473972602739726,0.13513513513513514,0.4537020356692487,40
btc_plus_full_pm,3,0.5,0.473972602739726,0.41818181818181815,0.4532816909866091,148
btc_only,7,0.45,0.4712328767123288,0.5162907268170426,0.4736083588542605,217
btc_plus_full_pm,7,0.45,0.4684931506849315,0.47282608695652173,0.47105626613823337,186
btc_plus_full_pm,7,0.5,0.4684931506849315,0.3821656050955414,0.47105626613823337,132
btc_plus_full_pm,10,0.6,0.4684931506849315,0.13392857142857142,0.4628895694469465,42
btc_only,5,0.4,0.4684931506849315,0.6150793650793651,0.4558638083228247,322
btc_plus_full_pm,14,0.55,0.4657534246575342,0.36065573770491804,0.4816849816849817,123
btc_plus_full_pm,3,0.6,0.4657534246575342,0.19753086419753085,0.4532816909866091,61
btc_plus_small_pm,5,0.55,0.4657534246575342,0.11764705882352941,0.4523509277607638,39
btc_plus_small_pm,5,0.5,0.4575342465753425,0.32653061224489793,0.4523509277607638,112
btc_only,3,0.5,0.4575342465753425,0.46195652173913043,0.4422626553774095,186
btc_plus_small_pm,7,0.5,0.4547945205479452,0.4394366197183099,0.46724313937428696,173
btc_plus_full_pm,5,0.45,0.4547945205479452,0.4884318766066838,0.4537020356692487,207
btc_plus_full_pm,3,0.55,0.4547945205479452,0.31141868512110726,0.4532816909866091,107
btc_only,7,0.5,0.4520547945205479,0.4350282485875706,0.4736083588542605,172
btc_plus_full_pm,5,0.5,0.4465753424657534,0.3082191780821918,0.4537020356692487,110
btc_plus_small_pm,3,0.5,0.4465753424657534,0.4388888888888889,0.4357773374166817,178
btc_plus_full_pm,10,0.55,0.4438356164383562,0.21011673151750973,0.4628895694469465,75
btc_only,3,0.55,0.4383561643835616,0.3322475570032573,0.4422626553774095,125
btc_only,3,0.6,0.4383561643835616,0.1700404858299595,0.4422626553774095,65
btc_plus_small_pm,3,0.55,0.4383561643835616,0.3365695792880259,0.4357773374166817,127
btc_plus_small_pm,3,0.6,0.43561643835616437,0.21374045801526717,0.4357773374166817,80
